id,form_id,name,form_name,type1,type2,hp,attack,defense,special_attack,special_defense,speed,bst,ability1,ability2,hidden_ability,egg_group1,egg_group2,growth_rate,catch_rate,base_exp
ARCHEN,0,Archen,,ROCK,FLYING,55,112,45,74,45,70,401,DEFEATIST,,,Flying,Water3,Medium,45,71
ARCHEOPS,0,Archeops,,ROCK,FLYING,75,140,65,112,65,110,567,DEFEATIST,,,Flying,Water3,Medium,45,177
ARCTIBAX,0,Arctibax,,DRAGON,ICE,90,95,66,45,65,62,423,THERMALEXCHANGE,,ICEBODY,Dragon,Mineral,Slow,25,182
ARCTOVISH,0,Arctovish,,WATER,ICE,90,90,100,80,90,55,505,WATERABSORB,ICEBODY,SLUSHRUSH,Undiscovered,,Slow,45,177
ARCTOZOLT,0,Arctozolt,,ELECTRIC,ICE,90,100,90,90,80,55,505,VOLTABSORB,STATIC,SLUSHRUSH,Undiscovered,,Slow,45,177
ARIADOS,0,Ariados,,BUG,POISON,95,115,85,40,85,40,460,INSOMNIA,INTIMIDATE,SNIPER,Bug,,Fast,90,140
ARMALDO,0,Armaldo,,ROCK,BUG,75,125,100,70,80,45,495,BATTLEARMOR,,SWIFTSWIM,Water3,,Erratic,45,173
ARMAROUGE,0,Armarouge,,FIRE,PSYCHIC,85,60,100,125,80,75,525,FLASHFIRE,,MEGALAUNCHER,Humanlike,,Slow,25,263
AROMATISSE,0,Aromatisse,,FAIRY,,101,72,72,99,89,29,462,HEALER,,AROMAVEIL,Fairy,,Medium,140,162
ARON,0,Aron,,STEEL,ROCK,50,70,100,40,40,30,330,STURDY,ROCKHEAD,HEAVYMETAL,Monster,,Slow,180,66
ARROKUDA,0,Arrokuda,,WATER,,41,63,40,40,30,66,280,SWIFTSWIM,,PROPELLERTAIL,Water2,,Slow,255,56
ARTICUNO,0,Articuno,,ICE,FLYING,90,85,100,95,125,85,580,PRESSURE,,SNOWCLOAK,Undiscovered,,Slow,3,290
ARTICUNO_1,1,Articuno,,PSYCHIC,FLYING,90,85,85,125,100,95,580,COMPETITIVE,,COMPETITIVE,Undiscovered,,Slow,3,290
AUDINO,0,Audino,,NORMAL,SOUND,103,60,86,60,86,50,445,FRIENDGUARD,REGENERATOR,KLUTZ,Fairy,,Fast,255,390
AUDINO_1,1,Audino,,NORMAL,FAIRY,103,60,126,80,126,50,545,HEALER,,HEALER,Fairy,,Fast,255,425
AURORUS,0,Aurorus,,ROCK,ICE,123,77,72,99,92,58,521,REFRIGERATE,,SNOWWARNING,Monster,,Medium,45,104
AVALUGG,0,Avalugg,,ICE,,95,117,184,44,46,28,514,FILTER,ICEBODY,STURDY,Monster,Mineral,Medium,55,180
AVALUGG_1,1,Avalugg,,ICE,ROCK,95,127,134,34,46,78,514,STRONGJAW,ICEBODY,STURDY,Monster,Mineral,Medium,55,180
AXEW,0,Axew,,DRAGON,,46,87,60,30,40,57,320,RIVALRY,MOLDBREAKER,SHARPNESS,Monster,Dragon,Parabolic,75,64
AZELF,0,Azelf,,PSYCHIC,,75,125,70,125,70,115,580,LEVITATE,,,Undiscovered,,Slow,3,290
AZUMARILL,0,Azumarill,,WATER,FAIRY,100,50,80,90,80,50,450,THICKFAT,HUGEPOWER,SAPSIPPER,Water1,Fairy,Fast,75,210
AZURILL,0,Azurill,,NORMAL,FAIRY,50,20,40,20,40,20,190,THICKFAT,HUGEPOWER,SAPSIPPER,Undiscovered,,Fast,150,38
BAGON,0,Bagon,,DRAGON,,45,75,60,40,30,50,300,ROCKHEAD,,SHEERFORCE,Dragon,,Slow,45,60
BALTOY,0,Baltoy,,GROUND,PSYCHIC,40,40,55,40,70,55,300,LEVITATE,,,Mineral,,Medium,255,60
BANDEON,0,Bandeon,,SOUND,,130,60,65,95,110,65,525,FILTER,,EQUALIZE,Field,,Medium,45,184
BANETTE,0,Banette,,GHOST,,64,115,65,83,63,65,455,INSOMNIA,FRISK,CURSEDBODY,Amorphous,,Fast,45,159
BANETTE_1,1,Banette,,GHOST,,64,165,75,93,83,75,555,PRANKSTER,,PRANKSTER,Amorphous,,Fast,45,194
BARBARACLE,0,Barbaracle,,ROCK,FIGHTING,72,105,115,54,86,68,500,TOUGHCLAWS,SNIPER,LONGREACH,Water3,,Medium,45,175
BARBOACH,0,Barboach,,WATER,GROUND,50,48,43,46,41,60,288,OBLIVIOUS,ANTICIPATION,HYDRATION,Water2,,Medium,190,58
BARRASKEWDA,0,Barraskewda,,WATER,,61,123,60,60,50,136,490,SWIFTSWIM,,PROPELLERTAIL,Water2,,Slow,60,172
BASCULEGION,0,Basculegion,,WATER,GHOST,120,112,65,80,75,78,530,SWIFTSWIM,ADAPTABILITY,MOLDBREAKER,Water2,,Medium,45,265
BASCULEGION_1,1,Basculegion,,WATER,GHOST,120,92,65,100,75,78,530,SWIFTSWIM,ADAPTABILITY,MOLDBREAKER,Water2,,Medium,45,265
BASCULIN,0,Basculin,,WATER,,70,92,65,80,55,98,460,RECKLESS,ADAPTABILITY,MOLDBREAKER,Water2,,Medium,25,161
BASCULIN_1,1,Basculin,,WATER,,70,92,65,80,55,98,460,ROCKHEAD,ADAPTABILITY,MOLDBREAKER,Water2,,Medium,25,161
BASCULIN_2,2,Basculin,,WATER,,70,92,65,80,55,98,460,RATTLED,ADAPTABILITY,MOLDBREAKER,Water2,,Medium,25,161
BASTIODON,0,Bastiodon,,ROCK,STEEL,60,52,168,47,138,30,495,STURDY,,SOUNDPROOF,Monster,,Erratic,45,173
BATNANA,0,Batnana,,GRASS,FLYING,62,60,63,80,60,80,405,OVERGROW,,UNBURDEN,Grass,Flying,Parabolic,45,100
BAXCALIBUR,0,Baxcalibur,,DRAGON,ICE,115,145,92,75,86,87,600,THERMALEXCHANGE,,ICEBODY,Dragon,Mineral,Slow,10,300
BAYLEEF,0,Bayleef,,GRASS,,60,62,80,63,80,60,405,OVERGROW,,TRIAGE,Monster,Grass,Parabolic,45,142
BEARTIC,0,Beartic,,ICE,,95,130,80,70,80,50,505,SNOWCLOAK,SLUSHRUSH,SWIFTSWIM,Field,,Medium,60,177
BEAUTIFLY,0,Beautifly,,BUG,FLYING,60,70,50,100,50,65,395,SWARM,,RIVALRY,Bug,,Medium,45,198
BEEDRILL,0,Beedrill,,BUG,POISON,65,100,60,30,80,95,430,SWARM,,SNIPER,Bug,,Medium,45,198
BEEDRILL_1,1,Beedrill,,BUG,POISON,65,150,60,30,80,145,530,ADAPTABILITY,,ADAPTABILITY,Bug,,Medium,45,284
BEEFLE,0,Beefle,,BUG,FIGHTING,39,46,28,21,31,21,186,HUSTLE,BATTLEARMOR,UNAWARE,Bug,,Medium,255,60
BEHEEYEM,0,Beheeyem,,PSYCHIC,,95,75,75,125,95,40,505,TELEPATHY,OBLIVIOUS,ANALYTIC,Humanlike,,Medium,90,170
BELDUM,0,Beldum,,STEEL,PSYCHIC,40,55,80,35,60,30,300,CLEARBODY,,LIGHTMETAL,Mineral,,Slow,30,60
BELLIBOLT,0,Bellibolt,,ELECTRIC,,109,64,91,103,83,45,495,ELECTROMORPHOSIS,STATIC,DAMP,Water1,,Medium,50,173
BELLOSSOM,0,Bellossom,,GRASS,,85,70,95,90,100,50,490,CHLOROPHYLL,SWEETVEIL,HEALER,Grass,,Parabolic,45,245
BELLSPROUT,0,Bellsprout,,GRASS,POISON,50,75,35,70,30,40,300,CHLOROPHYLL,,GLUTTONY,Grass,,Parabolic,255,60
BERGMITE,0,Bergmite,,ICE,,55,69,85,32,35,28,304,FILTER,ICEBODY,STURDY,Monster,Mineral,Medium,190,61
BEWEAR,0,Bewear,,NORMAL,FIGHTING,120,125,80,55,60,60,500,FLUFFY,KLUTZ,UNNERVE,Field,,Medium,70,175
BIBAREL,0,Bibarel,,NORMAL,WATER,99,90,70,55,70,76,460,SIMPLE,UNAWARE,MOODY,Water1,Field,Medium,127,144
BIDOOF,0,Bidoof,,NORMAL,,69,55,50,35,50,41,300,SIMPLE,UNAWARE,MOODY,Water1,Field,Medium,255,50
BINACLE,0,Binacle,,ROCK,WATER,42,52,67,39,56,50,306,TOUGHCLAWS,SNIPER,PICKPOCKET,Water3,,Medium,120,61
BIRIGIRI,0,Birigiri,,ELECTRIC,WATER,75,95,80,60,75,100,485,MOTORDRIVE,BATTERY,GALVANIZE,Water2,,Medium,45,151
BISHARP,0,Bisharp,,DARK,STEEL,65,125,100,60,70,70,490,DEFIANT,INNERFOCUS,DISHEARTEN,Humanlike,,Medium,45,172
BISHARPX,0,WIP,,NORMAL,SOUND,1,1,1,1,1,1,6,RUNAWAY,,,Undiscovered,,Slow,1,100
BLACEPHALON,0,Blacephalon,,FIRE,GHOST,53,127,53,151,79,107,570,BEASTBOOST,,,Undiscovered,,Slow,30,285
BLASTOISE,0,Blastoise,,WATER,,79,83,100,85,105,78,530,TORRENT,,RAINDISH,Monster,Water1,Parabolic,45,265
BLASTOISE_1,1,Blastoise,,WATER,,79,103,120,135,115,78,630,MEGALAUNCHER,,MEGALAUNCHER,Monster,Water1,Parabolic,45,315
BLAZIKEN,0,Blaziken,,FIRE,FIGHTING,80,120,70,110,70,80,530,BLAZE,,SPEEDBOOST,Field,,Parabolic,45,265
BLAZIKEN_1,1,Blaziken,,FIRE,FIGHTING,80,160,80,130,80,100,630,SPEEDBOOST,,SPEEDBOOST,Field,,Parabolic,45,315
BLINGRIMM,0,Blingrimm,,STEEL,POISON,50,68,77,30,40,40,305,HYPERCUTTER,POISONTOUCH,TOUGHCLAWS,Mineral,Amorphous,Medium,207,61
BLINGRUDGE,0,Blingrudge,,STEEL,POISON,80,101,109,55,75,45,465,HYPERCUTTER,POISONTOUCH,TOUGHCLAWS,Mineral,Amorphous,Medium,120,173
BLIPBUG,0,Blipbug,,BUG,,25,20,20,25,45,45,180,SWARM,COMPOUNDEYES,TELEPATHY,Bug,,Medium,255,36
BLISSEY,0,Blissey,,NORMAL,,255,10,10,75,135,55,540,NATURALCURE,SERENEGRACE,HEALER,Fairy,,Fast,30,635
BLITZLE,0,Blitzle,,ELECTRIC,NORMAL,45,65,32,40,32,81,295,MOTORDRIVE,STRIKER,GUTS,Field,,Medium,190,59
BOLDORE,0,Boldore,,ROCK,,70,50,105,105,40,20,390,STURDY,WEAKARMOR,SOLARPOWER,Mineral,,Parabolic,120,137
BOLTUND,0,Boltund,,ELECTRIC,,69,90,60,90,60,121,490,STRONGJAW,,COMPETITIVE,Field,,Fast,45,172
BOMBIRDIER,0,Bombirdier,,FLYING,DARK,70,103,85,60,85,82,485,BIGPECKS,KEENEYE,ROCKYPAYLOAD,Flying,,Slow,25,243
BONSLY,0,Bonsly,,ROCK,,50,80,95,10,45,10,290,STURDY,ROCKHEAD,RATTLED,Undiscovered,,Medium,255,58
BOUFFALANT,0,Bouffalant,,NORMAL,,95,110,105,40,95,55,500,RECKLESS,SAPSIPPER,SOUNDPROOF,Field,,Medium,45,172
BOUNSWEET,0,Bounsweet,,GRASS,,42,30,38,30,38,32,210,LEAFGUARD,OBLIVIOUS,SWEETVEIL,Grass,,Parabolic,235,42
BRAIXEN,0,Braixen,,FIRE,,59,59,58,90,70,73,409,BLAZE,,MAGICIAN,Field,,Parabolic,45,143
BRAMBLEGHAST,0,Brambleghast,,GRASS,GHOST,55,115,70,70,70,100,480,WINDRIDER,DRYSKIN,INFILTRATOR,Grass,,Medium,45,168
BRAMBLIN,0,Bramblin,,GRASS,GHOST,45,65,35,25,35,70,275,WINDRIDER,DRYSKIN,INFILTRATOR,Grass,,Medium,190,55
BRAVIARY,0,Braviary,,NORMAL,FLYING,100,123,75,57,75,80,510,KEENEYE,SHEERFORCE,DEFIANT,Flying,,Slow,60,179
BRAVIARY_1,1,Braviary,,PSYCHIC,FLYING,110,112,70,83,70,65,510,KEENEYE,SHEERFORCE,RAPTOR,Flying,,Slow,60,179
BRELOOM,0,Breloom,,GRASS,FIGHTING,60,130,80,60,60,70,460,EFFECTSPORE,POISONHEAL,TECHNICIAN,Fairy,Grass,Fluctuating,90,161
BREMAND,0,Bremand,,GHOST,SOUND,80,100,60,100,80,80,500,MOLDBREAKER,,ADAPTABILITY,Field,,Slow,200,100
BREMAND_1,1,Bremand,,ELECTRIC,SOUND,60,60,80,100,80,100,480,MOLDBREAKER,,ADAPTABILITY,Field,,Slow,200,100
BREMAND_2,2,Bremand,,FIGHTING,SOUND,100,100,80,80,60,60,480,MOLDBREAKER,,ADAPTABILITY,Field,,Slow,200,100
BREMAND_3,3,Bremand,,DARK,SOUND,80,60,100,60,100,80,480,MOLDBREAKER,,ADAPTABILITY,Field,,Slow,200,100
BRIONNE,0,Brionne,,WATER,,60,69,69,91,81,50,420,TORRENT,,LIQUIDVOICE,Water1,Field,Parabolic,45,147
BRONZONG,0,Bronzong,,STEEL,PSYCHIC,67,89,116,79,116,33,500,LEVITATE,HEATPROOF,HEAVYMETAL,Mineral,,Medium,90,175
BRONZOR,0,Bronzor,,STEEL,PSYCHIC,57,24,86,24,86,23,300,LEVITATE,HEATPROOF,HEAVYMETAL,Mineral,,Medium,255,60
BRUTEBONNET,0,Brute Bonnet,,GRASS,DARK,111,127,99,79,99,55,570,PROTOSYNTHESIS,,,Undiscovered,,Slow,50,285
BRUXISH,0,Bruxish,,WATER,PSYCHIC,68,105,70,70,70,92,475,DAZZLING,STRONGJAW,WONDERSKIN,Water2,,Medium,80,166
BUDEW,0,Budew,,GRASS,POISON,40,30,35,50,70,55,280,NATURALCURE,POISONPOINT,LEAFGUARD,Undiscovered,,Parabolic,255,56
BUDEWX,0,WIP,,NORMAL,SOUND,1,1,1,1,1,1,6,RUNAWAY,,,Undiscovered,,Slow,1,100
BUIZEL,0,Buizel,,WATER,,55,65,35,60,30,85,330,SWIFTSWIM,,WATERVEIL,Water1,Field,Medium,190,66
BULBASAUR,0,Bulbasaur,,GRASS,POISON,45,49,49,65,65,45,318,OVERGROW,,CHLOROPHYLL,Monster,Grass,Parabolic,45,64
BULLVERIN,0,Bullverin,,FIRE,,70,75,62,70,63,65,405,BLAZE,,RECKLESS,Field,,Parabolic,45,100
BUNEARY,0,Buneary,,NORMAL,,55,66,44,44,56,85,350,RUNAWAY,KLUTZ,LIMBER,Field,Humanlike,Medium,190,70
BUNNELBY,0,Bunnelby,,NORMAL,,38,36,38,32,36,57,237,PICKUP,CHEEKPOUCH,HUGEPOWER,Field,,Medium,255,47
BURMY,0,Burmy,,BUG,,40,29,45,29,45,36,224,SHEDSKIN,,OVERCOAT,Bug,,Medium,120,45
BURMY_1,1,Burmy,,BUG,,40,29,45,29,45,36,224,SHEDSKIN,,OVERCOAT,Bug,,Medium,120,45
BURMY_2,2,Burmy,,BUG,,40,29,45,29,45,36,224,SHEDSKIN,,OVERCOAT,Bug,,Medium,120,45
BUTTERFREE,0,Butterfree,,BUG,FLYING,60,45,50,90,80,70,395,COMPOUNDEYES,,TINTEDLENS,Bug,,Medium,45,198
BUZZWOLE,0,Buzzwole,,BUG,FIGHTING,107,139,139,53,53,79,570,BEASTBOOST,,,Undiscovered,,Slow,45,285
CACNEA,0,Cacnea,,GRASS,,50,85,40,85,40,35,335,SANDVEIL,,WATERABSORB,Grass,Humanlike,Parabolic,190,67
CACNEAX,0,Cacnea,,GHOST,GROUND,70,85,45,45,15,85,345,IRONBARBS,,CURSEDBODY,Xenoverse,,Parabolic,190,67
CACTURNE,0,Cacturne,,GRASS,DARK,70,115,60,115,60,55,475,SANDVEIL,,WATERABSORB,Grass,Humanlike,Parabolic,60,166
CACTURNEX,0,Cacturne,,GHOST,GROUND,95,105,75,105,75,20,475,IRONBARBS,,DEADEYE,Xenoverse,,Parabolic,60,166
CALYREX,0,Calyrex,,PSYCHIC,GRASS,100,80,80,80,80,80,500,UNNERVE,,,Undiscovered,,Slow,3,250
CALYREX_1,1,Calyrex,,PSYCHIC,ICE,100,165,150,85,130,50,680,ASONECHILLINGNEIGH,,,Undiscovered,,Slow,3,340
CALYREX_2,2,Calyrex,,PSYCHIC,GHOST,100,85,80,165,100,150,680,ASONEGRIMNEIGH,,,Undiscovered,,Slow,3,340
CAMERUPT,0,Camerupt,,FIRE,GROUND,100,60,75,105,80,40,460,MAGMAARMOR,SOLIDROCK,BERSERK,Field,,Medium,150,161
CAMERUPT_1,1,Camerupt,,FIRE,GROUND,120,70,100,145,105,20,560,SHEERFORCE,,SHEERFORCE,Field,,Medium,150,196
CAPSAKID,0,Capsakid,,GRASS,,50,62,40,62,40,50,304,CHLOROPHYLL,INSOMNIA,KLUTZ,Grass,,Medium,190,61
CARBINK,0,Carbink,,ROCK,FAIRY,50,50,150,50,150,50,500,CLEARBODY,,STURDY,Fairy,Mineral,Slow,60,100
CARKOL,0,Carkol,,ROCK,FIRE,80,60,90,60,70,50,410,STEAMENGINE,FLAMEBODY,FLASHFIRE,Mineral,,Parabolic,120,144
CARNIVINE,0,Carnivine,,GRASS,,74,100,72,90,72,46,454,LEVITATE,,,Grass,,Slow,200,159
CARRACOSTA,0,Carracosta,,WATER,ROCK,74,108,133,83,65,32,495,SOLIDROCK,STURDY,SWIFTSWIM,Water1,Water3,Medium,45,173
CARVANHA,0,Carvanha,,WATER,DARK,45,90,20,65,20,65,305,ROUGHSKIN,,SPEEDBOOST,Water2,,Slow,225,61
CARVANHAX,0,Carvanha,,WATER,GHOST,45,90,20,65,20,65,305,STRONGJAW,INFILTRATOR,NOGUARD,Xenoverse,,Slow,100,61
CASCOON,0,Cascoon,,BUG,,50,35,55,25,25,15,205,SHEDSKIN,,,Bug,,Medium,120,72
CASTFORM,0,Castform,,NORMAL,FLYING,80,80,80,80,80,80,480,FORECAST,,,Fairy,Amorphous,Medium,45,147
CASTFORM_1,1,Castform,,FIRE,FLYING,80,80,80,100,80,100,520,FORECAST,,,Fairy,Amorphous,Medium,45,147
CASTFORM_2,2,Castform,,WATER,FLYING,80,80,80,100,80,100,520,FORECAST,,,Fairy,Amorphous,Medium,45,147
CASTFORM_3,3,Castform,,ICE,FLYING,80,80,80,100,80,100,520,FORECAST,,,Fairy,Amorphous,Medium,45,147
CASTFORM_4,4,Castform,,ROCK,FLYING,80,80,80,100,80,100,520,FORECAST,,,Fairy,Amorphous,Medium,45,147
CASTFORM_5,5,Castform,,POISON,FLYING,80,80,80,100,80,100,520,FORECAST,,,Fairy,Amorphous,Medium,45,147
CATERPIE,0,Caterpie,,BUG,,45,30,35,20,20,45,195,SHIELDDUST,,RUNAWAY,Bug,,Medium,255,39
CATERPIEX,0,Caterpie,,PSYCHIC,STEEL,85,140,112,145,108,90,680,SHACKLEDSOUL,,,Undiscovered,,Parabolic,45,194
CELEBI,0,Celebi,,PSYCHIC,GRASS,100,100,100,100,100,100,600,NATURALCURE,,,Undiscovered,,Parabolic,45,300
CELESTEELA,0,Celesteela,,STEEL,FLYING,97,101,103,107,101,61,570,BEASTBOOST,,,Undiscovered,,Slow,45,285
CENTISKORCH,0,Centiskorch,,FIRE,BUG,100,115,65,90,90,65,525,FLASHFIRE,WHITESMOKE,FLAMEBODY,Bug,,Medium,75,184
CERULEDGE,0,Ceruledge,,FIRE,GHOST,75,125,80,60,100,85,525,FLASHFIRE,,SHARPNESS,Humanlike,,Slow,25,263
CETITAN,0,Cetitan,,ICE,,170,113,65,45,55,73,521,THICKFAT,SLUSHRUSH,SHEERFORCE,Field,,Parabolic,50,182
CETODDLE,0,Cetoddle,,ICE,,108,68,45,30,40,43,334,THICKFAT,SNOWCLOAK,SHEERFORCE,Field,,Parabolic,150,67
CHANDELURE,0,Chandelure,,GHOST,FIRE,60,55,90,145,90,80,520,FLASHFIRE,FLAMEBODY,INFILTRATOR,Amorphous,,Parabolic,45,260
CHANSEY,0,Chansey,,NORMAL,,250,5,5,35,105,50,450,NATURALCURE,SERENEGRACE,HEALER,Fairy,,Fast,30,395
CHARCADET,0,Charcadet,,FIRE,,40,50,40,50,40,35,255,FLASHFIRE,,FLAMEBODY,Humanlike,,Slow,90,51
