id,name,type,category,power,accuracy,pp,priority,target,description
ALLURINGVOICE,Alluring Voice,FAIRY,Physical,80,100,10,0,NearOther,Attacks using an angelic voice. This confuses the target if its stats have been raised this turn.
ALLYSWITCH,Ally Switch,PSYCHIC,Special,0,0,15,2,User,The user teleports using a strange power and switches its place with one of its allies.
AMNESIA,Amnesia,PSYCHIC,Special,0,0,20,0,User,The user temporarily empties its mind to forget its concerns. It sharply raises the user's Sp. Def stat.
ANCHORSHOT,Anchor Shot,STEEL,,80,100,20,0,NearOther,The user entangles the target with its anchor chain. The target becomes unable to flee.
ANCIENTPOWER,Ancient Power,ROCK,Physical,60,100,5,0,NearOther,The user attacks with a prehistoric power. It may also raise all the user's stats at once.
ANGERWAVE,Anger Wave,NORMAL,,1,100,20,0,NearOther,The user vents out its frustration. The attack grows more powerful the less the user likes its Trainer.
APPLEACID,Apple Acid,GRASS,Physical,80,100,10,0,NearOther,Attacks with an acidic liquid created from tart apples. This also lowers the target's Sp. Def.
AQUACUTTER,Aqua Cutter,WATER,,70,100,20,0,NearOther,The user expels pressurized water to cut at the target like a blade. Critical hits land more easily.
AQUAJET,Aqua Jet,WATER,,40,100,20,1,NearOther,The user lunges at the target at a speed that makes it almost invisible. It is sure to strike first.
AQUARING,Aqua Ring,WATER,Special,0,0,20,0,User,The user envelops itself in a veil made of water. It regains some HP on every turn.
AQUASTEP,Aqua Step,WATER,,80,100,10,0,NearOther,The user attacks the target using light and fluid dance steps. This also boosts the user’s Speed stat.
AQUATAIL,Aqua Tail,WATER,,90,90,10,0,NearOther,The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
ARMORCANNON,Armor Cannon,FIRE,Physical,120,100,5,0,NearOther,The user shoots its own armor out as blazing projectiles. This lowers the user’s Defense and Sp. Def.
ARMTHRUST,Arm Thrust,FIGHTING,,15,100,20,0,NearOther,The user looses a flurry of open-palmed arm thrusts that hit two to five times in a row.
AROMATHERAPY,Aromatherapy,GRASS,Special,0,0,5,0,UserAndAllies,The user releases a soothing scent that heals all status problems affecting the user's party.
AROMATICMIST,Aromatic Mist,FAIRY,Special,0,0,20,0,NearAlly,The user raises the Sp. Def stat of an ally Pokémon by using a mysterious aroma.
ASSIST,Assist,NORMAL,Special,0,0,20,0,User,The user hurriedly and randomly uses a move among those known by other Pokémon in the party.
ASSURANCE,Assurance,DARK,,60,100,10,0,NearOther,"If the target has already taken damage in the same turn, this attack's power is doubled."
ASTONISH,Astonish,GHOST,,30,100,15,0,NearOther,The user attacks the target while shouting in a startling fashion. It may also make the target flinch.
ASTRALBARRAGE,Astral Barrage,GHOST,Physical,120,100,5,0,AllNearFoes,The user attacks by sending a frightful amount of small ghosts at opposing Pokémon.
ATTACKORDER,Attack Order,BUG,Physical,90,100,15,0,NearOther,"The user calls out its underlings to pummel the target, hitting its Defense. This move has a heightened chance of landing a critical hit."
ATTRACT,Attract,NORMAL,Special,0,100,15,0,NearOther,"If it is the opposite gender of the user, the target becomes infatuated and less likely to attack."
AURASPHERE,Aura Sphere,FIGHTING,Physical,80,0,20,0,Other,The user looses a blast of aura power from deep within its body. This move is certain to hit.
AURAWHEEL,Aura Wheel,ELECTRIC,,110,100,10,0,NearOther,Morpeko attacks and raises its Speed with energy stored in its cheeks. Type changes with the user's form.
AURORABEAM,Aurora Beam,ICE,Physical,65,100,20,0,NearOther,The target is hit with a rainbow-colored beam. This may also lower the target's Attack stat.
AURORAVEIL,Aurora Veil,ICE,Special,0,0,20,0,UserSide,This move reduces damage from attacks for five turns. This can be used only in a hailstorm.
AUTOTOMIZE,Autotomize,STEEL,Special,0,0,15,0,User,The user sheds part of its body to make itself lighter and sharply raise its Speed stat.
AVALANCHE,Avalanche,ICE,,60,100,10,-4,NearOther,An attack move that inflicts double the damage if the user has been hurt by the foe in the same turn.
AXEKICK,Axe Kick,FIGHTING,,120,90,10,0,NearOther,Performs a downward kick which may confuse the target. The user takes damage if it misses.
BABBLE,Babble,SOUND,Physical,45,100,25,0,NearOther,The user attacks the target by shouting incoherently at it.
BABYDOLLEYES,Baby-Doll Eyes,FAIRY,Special,0,100,30,1,NearOther,"The user stares with its baby-doll eyes, which lowers the target's Attack stat. Always goes first."
BANEFULBUNKER,Baneful Bunker,POISON,Special,0,0,10,4,User,Protects the user from attacks. Also poisons any attacker that makes contact with the user.
BARBBARRAGE,Barb Barrage,POISON,,60,100,10,0,NearOther,Fires toxic barbs which may poison the target. Power is doubled if the target is poisoned.
BARRAGE,Barrage,NORMAL,,15,85,20,0,NearOther,Round objects are hurled at the target to strike two to five times in a row.
BARRIER,Barrier,PSYCHIC,Special,0,0,20,0,User,The user throws up a sturdy wall that sharply raises its Defense stat.
BATONPASS,Baton Pass,NORMAL,Special,0,0,40,0,User,"The user switches places with a party Pokémon in waiting, passing along any stat changes."
BEAKBLAST,Beak Blast,FLYING,,100,100,15,-3,NearOther,The user heats up its beak before attacking. Making contact in this time results in a burn.
BEATUP,Beat Up,DARK,,1,100,10,0,NearOther,"The user gets all the party Pokémon to attack the foe. The more party Pokémon, the more damage."
BEHEMOTHBASH,Behemoth Bash,STEEL,,100,100,5,0,NearOther,The user becomes a gigantic shield and slams into the target.
BEHEMOTHBLADE,Behemoth Blade,STEEL,,100,100,5,0,NearOther,The user becomes a gigantic sword and cuts the target.
BELCH,Belch,POISON,Physical,120,90,10,0,NearOther,The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.
BELLYDRUM,Belly Drum,NORMAL,Special,0,0,10,0,User,The user maximizes its Attack stat in exchange for HP equal to half its max HP.
BENEVOLENCE,Benevolence,FAIRY,Special,0,0,15,0,NearOther,"The user resets the stat changes of the target. If it lands, heals 1/4 max HP."
BERRYPUNCH,Berry Punch,GRASS,,75,100,15,0,NearOther,The user eats their berry before rushing fist-first to eat the target's.
BESTOW,Bestow,NORMAL,Special,0,0,15,0,NearOther,The user passes its held item to the target when the target isn't holding an item.
BIDE,Bide,NORMAL,,1,0,10,1,None,"The user endures attacks for two turns, then strikes back to cause double the damage taken."
BIND,Bind,NORMAL,,15,85,20,0,NearOther,Things such as long bodies or tentacles are used to bind and squeeze the foe for four to five turns.
BITE,Bite,DARK,,60,100,25,0,NearOther,The target is bitten with viciously sharp fangs. It may make the target flinch.
BITTERBLADE,Bitter Blade,FIRE,,90,100,10,0,NearOther,A spiteful slashing attack. The user’s HP is restored by up to half the damage taken by the target.
BITTERMALICE,Bitter Malice,GHOST,Physical,75,100,10,0,NearOther,The user attacks the target with spine-chilling resentment. This also lowers the target’s Attack stat.
BLASTBURN,Blast Burn,FIRE,Physical,150,90,5,0,NearOther,The target is razed by a fiery explosion. This move can’t be used twice in a row.
BLAZEKICK,Blaze Kick,FIRE,,85,90,10,0,NearOther,The user launches a kick with a high critical-hit ratio. It may also leave the target with a burn.
BLAZINGTORQUE,Blazing Torque,FIRE,,80,100,10,0,NearOther,This move is only used by a Starmobile. It may leave the target with a burn.
BLEAKWINDSTORM,Bleakwind Storm,FLYING,Physical,100,80,10,0,AllNearFoes,The user attacks with cold winds that cause opposing Pokémon to tremble. This may lower their Speed stats.
BLIZZARD,Blizzard,ICE,Physical,110,70,5,0,AllNearFoes,A howling blizzard is summoned to strike the target. This may also leave the target with frostbite.
BLOCK,Block,NORMAL,Special,0,0,5,0,NearOther,The user blocks the target's way with arms spread wide to prevent escape.
BLOODMOON,Blood Moon,NORMAL,Physical,140,100,5,0,NearOther,The user unleashes the full brunt of its spirit from a blood moon. This move can't be used twice in a row.
BLUEFLARE,Blue Flare,FIRE,Physical,130,85,5,0,NearOther,"The user attacks by engulfing the foe in a beautiful, yet intense, blue flame. It may also burn the foe."
BLUENOTE,Blue Note,SOUND,Special,0,75,10,0,AllNearFoes,Opposing Pokémon are hit by a relaxing music that makes them sleep.
BODYPRESS,Body Press,FIGHTING,,80,100,10,0,NearOther,The user attacks by slamming its body into the target. Power increases the higher the user's Defense is.
BODYSLAM,Body Slam,NORMAL,,85,100,15,0,NearOther,The user drops onto the target with its full body weight. It may leave the target with paralysis.
BOLTBEAK,Bolt Beak,ELECTRIC,,85,100,10,0,NearOther,Stabs the target with an electrified beak. Power is doubled if the user attacks first.
BOLTSTRIKE,Bolt Strike,ELECTRIC,,130,85,5,0,NearOther,"The user charges at its foe, surrounding itself with lightning. It may also leave the target paralyzed."
BONECLUB,Bone Club,FIGHTING,,85,100,20,0,NearOther,The user clubs the target with an expertly wielded bone. It may also make the target flinch.
BONEMERANG,Bonemerang,GROUND,,50,90,10,0,NearOther,"The user throws the bone it holds, hitting the target twice as it comes and goes. Hits airborne targets and grounds them."
BONERUSH,Bone Rush,GROUND,,25,90,10,0,NearOther,The user strikes the target with a hard bone two to five times in a row.
BOOMBURST,Boomburst,SOUND,Physical,110,95,10,0,AllNearOthers,"The user attacks everything around it with the destructive power of a terrible, explosive sound."
BOUNCE,Bounce,FLYING,,85,85,5,0,Other,"The user bounces up high, then drops on the foe on the second turn. It may also paralyze the foe."
BRAINSTORM,Brainstorm,PSYCHIC,Physical,120,95,5,0,AllNearFoes,"The user unleashes a storm of uncontrolled psychic energy upon the field, hitting everyone. The strain sharply reduces the user's Sp.Atk."
BRANCHPOKE,Branch Poke,GRASS,,40,100,40,0,NearOther,The user attacks the target by poking it with a sharply pointed branch.
BRAVEBIRD,Brave Bird,FLYING,,120,100,15,0,Other,The user tucks in its wings and charges from a low altitude. The user also takes serious damage.
BREAKINGSWIPE,Breaking Swipe,DRAGON,,60,100,15,0,AllNearFoes,The user swings its tough tail wildly and attacks all foes. This also lowers their Attack stats.
BREMANDRHAPSODY,Bremand Rhapsody,SOUND,Physical,65,95,15,0,AllNearFoes,The user attacks with a song. Other Bremand can join in the Raphsody and make the attack do more damage.
BRICKBREAK,Brick Break,FIGHTING,,70,100,15,0,NearOther,"The user attacks with a swift chop, breaking any barrier such as Reflect, dealing extra damage if it does."
BRINE,Brine,WATER,Physical,65,100,10,0,NearOther,"If the target's HP is down to about half, this attack will hit with double the power."
BRUISINGBASH,Bruising Bash,DARK,,60,90,25,0,NearOther,The user bashes the opponent so hard it leaves a bruise. The opponent takes more physical damage until they switch out.
BRUTALSWING,Brutal Swing,DARK,,60,100,20,0,AllNearOthers,The user swings its body around violently to inflict damage on everything in its vicinity.
BUBBLE,Bubble,WATER,Physical,40,100,30,0,AllNearFoes,A spray of countless bubbles is jetted at the opposing team. It may also lower the targets' Speed stats.
BUBBLEBEAM,Bubble Beam,WATER,Physical,65,100,20,0,NearOther,A spray of bubbles is forcefully ejected at the target. It may also lower its Speed stat.
BUGBITE,Bug Bite,BUG,,60,100,20,0,NearOther,"The user attacks by biting the target. If the target is holding a Berry, the user eats it and gains its effect."
BUGBUZZ,Bug Buzz,BUG,Physical,90,100,10,0,NearOther,The user vibrates to generate a damaging sound wave. This may also lower the target’s Sp. Def stat.
BULKUP,Bulk Up,FIGHTING,Special,0,0,20,0,User,"The user tenses its muscles to bulk up its body, boosting its Attack and Defense stats."
BULLDOZE,Bulldoze,GROUND,,60,100,20,0,AllNearOthers,The user strikes everything around it by stomping on the ground. It reduces hit Pokémon's Speed.
BULLETPUNCH,Bullet Punch,STEEL,,40,100,30,1,NearOther,The user strikes the target with tough punches as fast as bullets. This move always goes first.
BULLETSEED,Bullet Seed,GRASS,,25,100,30,0,NearOther,The user attacks by forcefully shooting seeds at the target. This move hits two to five times in a row.
BURNINGBULWARK,Burning Bulwark,FIRE,Special,0,0,10,4,User,Protects the user from attacks. Also burns any attacker that makes contact with the user.
BURNINGJEALOUSY,Burning Jealousy,FIRE,Physical,70,100,5,0,AllNearFoes,The user attacks with energy from jealousy. This burns all foes that had their stats boosted this turn.
BURNUP,Burn Up,FIRE,Physical,130,100,5,0,NearOther,"To inflict massive damage, the user burns itself out. The user will no longer be Fire type."
CALMMIND,Calm Mind,PSYCHIC,Special,0,0,20,0,User,The user quietly focuses its mind and calms its spirit to boost its Sp. Atk and Sp. Def stats.
CAMOUFLAGE,Camouflage,NORMAL,Special,0,0,20,0,User,"The user's type is changed depending on its environment, such as at water's edge, in grass, or in a cave."
CAPTIVATE,Captivate,NORMAL,Special,0,100,20,0,AllNearFoes,"If it is the opposite gender of the user, the target is charmed into harshly lowering its Sp. Atk stat."
CATTAILRIPPLE,Cattail Ripple,POISON,,80,100,15,0,NearOther,The user hits the opponent with a venom-infused tail strike. The toxins will either poison or paralyze them.
CEASELESSEDGE,Ceaseless Edge,DARK,,65,90,15,0,NearOther,The user slashes the opponent with its shell blade. May leave spikes around the target.
CELEBRATE,Celebrate,NORMAL,Special,0,0,40,0,User,The Pokémon congratulates you on your special day!
CHARGE,Charge,ELECTRIC,Special,0,0,20,0,User,The user boosts the power of the Electric move it uses next. It also raises the user's Sp. Def stat.
CHARGEBEAM,Charge Beam,ELECTRIC,Physical,50,90,10,0,NearOther,The user fires a concentrated bundle of electricity. It may also raise the user's Sp. Atk stat.
CHARM,Charm,FAIRY,Special,0,100,20,0,NearOther,"The user charmingly gazes at the foe, making it less wary. The target's Attack is harshly lowered."
CHATTER,Chatter,SOUND,Physical,65,100,20,0,Other,The user attacks using a sound wave based on words it has learned. It may also confuse the target.
CHEERING,Cheering,SOUND,Special,0,0,15,5,NearAlly,"The user begins cheering for their ally, allowing their ally's move to have high priority."
CHILLINGWATER,Chilling Water,WATER,Physical,70,100,20,0,NearOther,The user showers the target with frigid water. This may also inflict Frostbite
CHILLYRECEPTION,Chilly Reception,ICE,Special,0,0,10,0,BothSides,The user tells a chillingly bad joke and switches out. This summons a snowstorm lasting five turns.
CHIPAWAY,Chip Away,NORMAL,,70,100,20,0,NearOther,"Seeking an opening, the user strikes continually. The foe's stat changes don't affect the damage."
CHLOROBLAST,Chloroblast,GRASS,Physical,150,95,5,0,NearOther,The user launches its amassed chlorophyll to inflict damage on the target. This also halves the user's HP.
CIRCLETHROW,Circle Throw,FIGHTING,,60,90,10,-6,NearOther,"The user throws the target and drags out another Pokémon in its party. In the wild, the battle ends."
CLAMP,Clamp,WATER,,35,85,15,0,NearOther,The target is clamped and squeezed by the user's very thick and sturdy shell for four to five turns.
CLANGINGSCALES,Clanging Scales,DRAGON,Physical,110,100,5,0,AllNearFoes,The user rubs its scales and makes a huge noise. Also lowers the user's Defense stat.
CLANGOROUSSOUL,Clangorous Soul,DRAGON,Special,0,0,5,0,User,The user raises all its stats by using some of its HP.
CLEARSMOG,Clear Smog,POISON,Physical,50,0,15,0,NearOther,The user attacks by throwing a clump of special mud. All status changes are returned to normal.
CLOSECOMBAT,Close Combat,FIGHTING,,120,100,5,0,NearOther,The user fights the foe up close without guarding itself. It also cuts the user's Defense and Sp. Def.
COACHING,Coaching,FIGHTING,Special,0,0,10,0,AllAllies,"The user properly coaches its ally Pokémon, boosting their Attack and Defense stats."
COIL,Coil,POISON,Special,0,0,20,0,User,The user coils up and concentrates. This raises its Attack and Defense stats as well as its accuracy.
COLLISIONCOURSE,Collision Course,FIGHTING,,100,100,5,0,NearOther,A massive prehistoric explosion. This move’s power is boosted more than usual if it’s a supereffective hit.
COLORCLAW,Color Claw,NORMAL,,85,100,15,0,NearOther,The user slices the opponent with its colorful claws. More likely to score a Critical Hit. Type changes with the user's type.
COMBATTORQUE,Combat Torque,FIGHTING,,100,100,10,0,NearOther,This move is only used by a Starmobile. It may paralyze the target.
COMETPUNCH,Comet Punch,FAIRY,,25,100,15,0,NearOther,The target is hit with a flurry of punches that strike two to five times in a row.
COMEUPPANCE,Comeuppance,DARK,,1,100,10,0,None,The user retaliates with much greater force against the opponent that last inflicted damage on it.
CONFIDE,Confide,SOUND,Special,0,0,20,0,NearOther,The user tells the target a secret. The target loses focus and its Sp. Atk stat is lowered.
CONFUSERAY,Confuse Ray,GHOST,Special,0,100,10,0,NearOther,The target is exposed to a sinister ray that triggers confusion.
CONFUSION,Confusion,PSYCHIC,Physical,50,100,25,0,NearOther,The target is hit by a weak telekinetic force. It may also leave the target confused.
CONSTRICT,Constrict,NORMAL,,10,100,35,0,NearOther,"The foe is attacked with long, creeping tentacles or vines. It may also lower the target's Speed."
CONVERSION,Conversion,NORMAL,Special,0,0,30,0,User,The user changes its type to become the same type as one of its moves.
CONVERSION2,Conversion 2,NORMAL,Special,0,0,30,0,NearOther,The user changes its type to make itself resistant to the type of the attack the opponent used last.
COPYCAT,Copycat,NORMAL,Special,0,0,20,0,User,The user mimics the move used immediately before it. The move fails if no other move has been used yet.
COREENFORCER,Core Enforcer,DRAGON,Physical,100,100,10,0,AllNearFoes,"If the target has already moved this turn, the effect of its Ability is negated."
CORRODINGACID,Corroding Acid,POISON,Physical,70,100,20,0,NearOther,The user shoots a corrosive substance that hits Steel types. Is super-effective under Acid Rain. This may burn the target.
CORROSIVEGAS,Corrosive Gas,POISON,Physical,65,100,40,0,AllNearOthers,The user surrounds everything around it with highly acidic gas and melts away items they hold.
COSMICPOWER,Cosmic Power,PSYCHIC,Special,0,0,20,0,User,The user absorbs a mystical power from space to raise its Defense and Sp. Def stats.
COTTONGUARD,Cotton Guard,GRASS,Special,0,0,10,0,User,"The user protects itself by wrapping its body in soft cotton, drastically raising its Defense stat."
COTTONSPORE,Cotton Spore,GRASS,Special,0,100,40,0,AllNearFoes,"The user releases cotton-like spores that cling to the foe, harshly reducing its Speed stat."
COUNTER,Counter,FIGHTING,,1,100,20,-5,None,"A retaliation move that counters any physical attack, inflicting double the damage taken."
COURTCHANGE,Court Change,NORMAL,Special,0,0,10,0,BothSides,"With its mysterious power, the user swaps the effects on either side of the field."
COVET,Covet,FAIRY,,60,100,25,0,NearOther,"The user endearingly approaches the target, then steals the target's held item."
CRABHAMMER,Crabhammer,WATER,,90,90,10,0,NearOther,The target is hammered with a large pincer. Critical hits land more easily.
CRAFTYSHIELD,Crafty Shield,FAIRY,Special,0,0,10,3,UserSide,The user protects itself and its allies from status moves with a mysterious power.
CRAGSHOT,Cragshot,ROCK,,120,100,10,-1,NearOther,"The user charges up and boosts Defense in the first turn, then shoots at the foe on the next turn."
CREAMWHIP,Cream Whip,ICE,,80,100,20,0,NearOther,The user strikes the enemy with a slap of condensed cream that reduces speed
CROSSCHOP,Cross Chop,FIGHTING,,100,80,5,0,NearOther,The user delivers a double chop with its forearms crossed. Critical hits land more easily.
CROSSPOISON,Cross Poison,POISON,,75,100,20,0,NearOther,A slashing attack with a poisonous blade that may also poison the foe. Critical hits land more easily.
CRUNCH,Crunch,DARK,,80,100,15,0,NearOther,The user crunches up the target with sharp fangs. It may also lower the target's Defense stat.
CRUSHCLAW,Crush Claw,NORMAL,,75,95,10,0,NearOther,The user slashes the target with hard and sharp claws. It may also lower the target's Defense.
CRUSHGRIP,Crush Grip,NORMAL,,1,100,5,0,NearOther,The target is crushed with great force. The attack is more powerful the more HP the target has left.
CRYSTALSHINE,Crystal Shine,ROCK,Physical,80,100,10,0,AllNearFoes,The user amplifies the light that hits their reflective crystals and damages the opponents.
CURSE,Curse,GHOST,Special,0,0,10,0,User,A move that works differently for the Ghost type than for all the other types.
CUT,Cut,STEEL,,70,95,30,0,NearOther,The target is cut with a scythe or a claw. It has a higher Critical Hit Rate.
DARKENINGBOLT,Darkening Bolt,DARK,Physical,100,100,15,0,AllNearFoes,The user creates an ominous storm of black lightning that hits all opponents. It may also paralyze them.
DARKESTLARIAT,Darkest Lariat,DARK,,85,100,10,0,NearOther,The user swings both arms and hits the target. This attack ignores the target's stat changes.
DARKPULSE,Dark Pulse,DARK,Physical,80,100,15,0,Other,The user releases a horrible aura imbued with dark thoughts. It may also make the target flinch.
DARKVOID,Dark Void,DARK,Special,0,50,10,0,AllNearFoes,Opposing Pokémon are dragged into a world of total darkness that makes them sleep.
DAZZLINGGLEAM,Dazzling Gleam,FAIRY,Physical,80,100,10,0,AllNearFoes,The user damages opposing Pokémon by emitting a powerful flash.
DEATHNAIL,Death Nail,GHOST,,64,100,15,0,AllNearFoes,The user strikes all foes with cursed nails that binds them to the ground.
DECORATE,Decorate,FAIRY,Special,0,0,15,0,NearOther,The user sharply raises the target's Attack and Sp. Atk stats by decorating the target.
DEFENDORDER,Defend Order,BUG,Special,0,0,10,0,User,"The user calls out its underlings to shield its body, boosting its Defense and Sp. Def stats."
DEFENSECURL,Defense Curl,NORMAL,Special,0,0,40,0,User,The user curls up to conceal weak spots and raise its Defense stat.
DEFOG,Defog,FLYING,Special,0,0,15,0,NearOther,A strong wind blows away the foe's obstacles such as Light Screen. It also lowers their evasion.
DESTINYBOND,Destiny Bond,GHOST,Special,0,0,5,0,User,"When this move is used, if the user faints, the foe that landed the knockout hit also faints."
DETECT,Detect,FIGHTING,Special,0,0,5,4,User,It enables the user to evade all attacks. Increases the user's accuracy by 1. Its chance of failing rises if it is used in succession.
DIAMONDSTORM,Diamond Storm,ROCK,,100,95,5,0,AllNearFoes,The user whips up a storm of diamonds to damage foes. This may also sharply raise the user's Defense stat.
DIG,Dig,GROUND,,80,100,10,0,NearOther,"The user burrows, then attacks on the second turn. It can also be used to exit dungeons."
DIRECLAW,Dire Claw,POISON,,80,100,15,0,NearOther,"The user may critically hit with its ruinous claws. May also leave the target poisoned, paralyzed, or frostbitten."
DISABLE,Disable,NORMAL,Special,0,100,20,0,NearOther,"For four turns, this move prevents the target from using the move it last used."
DISARMINGVOICE,Disarming Voice,FAIRY,Physical,40,0,15,0,AllNearFoes,"Letting out a charming cry, the user does emotional damage to foes. This attack never misses."
DISCHARGE,Discharge,ELECTRIC,Physical,80,100,15,0,AllNearOthers,A flare of electricity is loosed to strike the area around the user. It may also cause paralysis.
DISCOFEVER,Disco Fever,SOUND,Special,0,85,15,0,AllNearFoes,"The user sings a song that compels both opponents to dance until they feel the heat, leaving them burned."
DIVE,Dive,WATER,,80,100,10,0,NearOther,"Diving on the first turn, the user rises and hits on the next turn. It can be used to dive in the ocean."
DIZZYPUNCH,Dizzy Punch,NORMAL,,70,100,10,0,NearOther,The target is hit with rhythmically launched punches that may also leave it confused.
DOODLE,Doodle,NORMAL,Special,0,100,10,0,NearFoe,"The user captures a quick sketch, changing the Abilities of the user and its allies to the target's."
DOOMDESIRE,Doom Desire,STEEL,Physical,140,100,5,0,NearOther,"Two turns after this move is used, the user blasts the target with a concentrated bundle of light."
DOUBLEEDGE,Double-Edge,NORMAL,,120,100,15,0,NearOther,"A reckless, life-risking tackle. It also damages the user by a fairly large amount, however."
DOUBLEHIT,Double Hit,NORMAL,,35,90,10,0,NearOther,"The user slams the target with a long tail, vines, or tentacle. The target is hit twice in a row."
DOUBLEIRONBASH,Double Iron Bash,STEEL,,60,100,5,0,NearOther,"The user rotates, centering the hex nut in its chest, and then strikes twice. May cause flinching."
DOUBLEKICK,Double Kick,FIGHTING,,30,100,30,0,NearOther,The target is quickly kicked twice in succession using both feet.
DOUBLESHOCK,Double Shock,ELECTRIC,,120,100,5,0,NearOther,The user attacks by discharging all of its electricity. The user will no longer be Electric type.
DOUBLESLAP,Double Slap,NORMAL,,15,85,10,0,NearOther,"The target is slapped repeatedly, back and forth, two to five times in a row."
DOUBLETEAM,Double Team,NORMAL,Special,0,0,15,0,User,"By moving rapidly, the user makes illusory copies of itself to raise its evasiveness."
DRACOMETEOR,Draco Meteor,DRAGON,Physical,130,90,5,0,NearOther,Comets are summoned down from the sky. The attack's recoil harshly reduces the user's Sp. Atk stat.
DRAGONASCENT,Dragon Ascent,FLYING,,120,100,5,0,NearOther,The user soars upward and drops at high speeds. Its Defense and Sp. Def stats are lowered.
DRAGONBREATH,Dragon Breath,DRAGON,Physical,60,100,20,0,NearOther,The user exhales a mighty gust that inflicts damage. It may also leave the target with paralysis.
DRAGONCHEER,Dragon Cheer,DRAGON,Special,0,0,15,0,AllAllies,The user raises its allies’ critical hit ratio with a draconic cry. This rouses Dragon types more.
DRAGONCLAW,Dragon Claw,DRAGON,,80,100,15,0,NearOther,"The user slashes the target with huge, sharp claws to inflict damage."
DRAGONDANCE,Dragon Dance,DRAGON,Special,0,0,20,0,User,"The user vigorously performs a mystic, powerful dance that boosts its Attack and Speed stats."
DRAGONDARTS,Dragon Darts,DRAGON,,50,100,10,0,NearOther,"The user attacks twice using Dreepy. If there are two targets, this move hits each one once."
DRAGONENERGY,Dragon Energy,DRAGON,Physical,150,100,5,0,AllNearFoes,"Converts the user's life-force into power to attack. The higher the user's HP, the higher the move's power."
DRAGONHAMMER,Dragon Hammer,DRAGON,,90,100,15,0,NearOther,The user uses its body like a hammer to attack the target and inflict damage.
DRAGONPLEDGE,Dragon Pledge,DRAGON,Physical,70,100,10,0,NearOther,Blasts the target with a powerful wave of draconic energy. Uses the higher attack stat.
DRAGONPULSE,Dragon Pulse,DRAGON,Physical,85,100,10,0,Other,The target is attacked with a shock wave generated by the user's gaping mouth.
DRAGONRAGE,Dragon Rage,DRAGON,Physical,1,100,10,0,NearOther,This attack hits the target with a shock wave of pure rage. This attack always inflicts 40 HP damage.
DRAGONRUSH,Dragon Rush,DRAGON,,100,90,10,0,NearOther,"The user recklessly tackles the foe while exhibiting overwhelming menace. The user takes some recoil, but it may also make the target flinch."
DRAGONSBLESSING,Dragon's Blessing,DRAGON,Special,0,0,15,0,AllBattlers,"The user bestows dragon scales to reinforce all Dragon-type Pokémon on the field, increasing Defense. If a Pokémon isn't Dragon-type, it gains that Type."
DRAGONTAIL,Dragon Tail,DRAGON,,60,90,10,-6,NearOther,"The user knocks away the target and drags out another Pokémon in its party. In the wild, the battle ends."
DRAININGKISS,Draining Kiss,FAIRY,Physical,50,100,10,0,NearOther,The user steals the target's HP with a kiss. The user's HP is restored by over half of the damage dealt.
DRAINPUNCH,Drain Punch,FIGHTING,,75,100,10,0,NearOther,An energy-draining punch. The user's HP is restored by half the damage taken by the target.
